來源表,模型名稱 / 檔案名稱,執行結果,品質,推理速度 (TKS),測試評語摘要,連結核對狀態,連結
主表,Gemma-4-E4B-Uncensored-HauhauCS-Aggressive-Q4_K_P,✅ 跑得完,B（普通）,77 TKS,詞藻華麗但缺乏實質內容；能寫滿字數不崩,未核對,https://huggingface.co/HauhauCS/Gemma-4-E4B-Uncensored-HauhauCS-Aggressive
主表,Bonsai-27b-1bit-CRACK-Q1_0,❌ 死循環/崩潰,C（明確負面）,-,中英混雜、頻繁無限循環,未核對,
主表,Bonsai-27B-Q1_0 (官方版),❌ 死循環/崩潰,C（明確負面）,-,中英混雜且無限循環,未核對,https://huggingface.co/prism-ml/Ternary-Bonsai-2-27B-gguf
主表,Bonsai-27B-dspark-dflash-Q4_0,✅ 跑得完,未評,慢速,0.6G DF 配置，速度顯著下降,未核對,https://huggingface.co/prism-ml/Ternary-Bonsai-2-27B-gguf
主表,Huihui-MiniCPM5-2B-abliterated-GGUF,✅ 跑得完,C（明確負面）,120 TKS,速度飛快但創意極低，工具型,未核對,https://huggingface.co/huihui-ai/Huihui-MiniCPM5-2B-abliterated
主表,Huihui-Spark-X2.5-4B-abliterated-Q4_K_M,✅ 跑得完,B（普通）,100 TKS,同級小鋼炮，表現尚可,未核對,https://huggingface.co/huihui-ai/Huihui-Spark-X2.5-4B-abliterated
主表,K2-Horizon-7B-Q4_K_M.gguf,⚠️ 無法執行,未評,-,與 llama-b11002 CUDA 不相容,未核對,https://huggingface.co/IFM/K2-Horizon-7B
主表,Ornith-1.5-9B-GGUF,✅ 跑得完,C（明確負面）,60 TKS,普通作文與拙劣之間,未核對,https://huggingface.co/mradermacher/Ornith-1.5-9B-uncensored-GGUF
主表,Qwen3.8-4B-Distill-GGUF,✅ 跑得完,B（普通）,100 TKS,優於 Gemma-4-E4B，初階作者筆觸,未核對,https://huggingface.co/empero-ai/Qwen3.8-4B-Distill-GGUF
主表,maple-preview-TQ1_0-head-Q4_K,✅ 跑得完,B（普通）,38 TKS,文筆優秀、結構欠佳；3000 字後邏輯渙散但無單句死循環,未核對,https://huggingface.co/deepgrove/maple-preview
主表,gemma4-v2-Q3_K_M-yuxinlu1,❌ 死循環/崩潰,C（明確負面）,-,量化過度崩潰,未核對,https://huggingface.co/yuxinlu1/gemma-4-12B-agentic-fable5-composer2.5-v2-3.5x-tau2-GGUF
主表,Huihui-Qwen3-8B-abliterated-v2-Q4_K_M-GGUF,❌ 死循環/崩潰,C（明確負面）,70 TKS,虎頭蛇尾，拉長即死循環,名稱不符（連到 Qwen3.8-27B）,https://huggingface.co/huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF
主表,Qwen3.8-27B RVN Heretic Abliterated-IQ1_S,❌ 死循環/崩潰,C（明確負面）,30 TKS,觸發無限迴圈後自動中斷,連到基礎模型，非該量化再發布版,https://huggingface.co/Qwen/Qwen3.8-27B
主表,Qwen3.8-9B-Q4_K_M.gguf,✅ 跑得完,C（明確負面）,67 TKS,風格酷炫但缺邏輯內核；能寫完不卡死,未核對,https://huggingface.co/empero-ai/Qwen3.8-9B-Distill-GGUF
主表,Ling-3.0-tiny-Q4_K_M.gguf,❌ 死循環/崩潰,C（明確負面）,158 TKS,陷入無限迴圈,未核對,https://huggingface.co/inclusionAI/Ling-3.0-tiny
主表,LFM2.5-2.6B-Q4_K_M.gguf,✅ 跑得完,C（明確負面）,164 TKS,人物隨機更換，穩定性差,未核對,https://huggingface.co/LiquidAI/LFM2.5-2.6B
主表,Phi-4-mini-instruct-Q4_K_M.gguf,❌ 死循環/崩潰,C（明確負面）,116 TKS,容易無限循環、離題,名稱不符（連到 Phi-3-mini）,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
主表,Qwen3.6-14B-A3B-FableVibes-Q2_K.gguf,❌ 死循環/崩潰,C（明確負面）,85 TKS,無限死循環並跳英文,未核對,https://huggingface.co/tvall43/Qwen3.6-14B-A3B-FableVibes-GGUF
主表,Qwen3-8B-Q4_K_M.gguf (官方版),✅ 跑得完,C（明確負面）,70 TKS,僅寫 600 字；3000 字自稱超出能力,未核對,https://huggingface.co/Qwen/Qwen3-8B
主表,OxCoder-9B.Q4_K_M.gguf,✅ 跑得完,C（明確負面）,67 TKS,1000 字可完結但有邏輯硬傷；3000 字死循環,未核對,https://huggingface.co/OrionLLM/OxCoder-9B
主表,Nanbeige4.2-3B-Q4_K_M.gguf,❌ 死循環/崩潰,C（明確負面）,60 TKS,開頭可接受，拉長即死循環,未核對,https://huggingface.co/Nanbeige/Nanbeige4.2-3B
主表,Gemma4-12B-QAT-Uncensored-HauhauCS-Balanced,✅ 跑得完,C（明確負面）,12 TKS,氛圍佳但推理薄弱、12 TKS,連到 google 原版，非 HauhauCS QAT 版,https://huggingface.co/google/gemma-4-12B-it
主表,gemma-4-12b-it-UD-Q2_K_XL.gguf,❌ 死循環/崩潰,C（明確負面）,43 TKS,無限迴圈,未核對,https://huggingface.co/google/gemma-4-12B-it
主表,glm-4-9b-chat.Q4_K_S.gguf,✅ 跑得完,C（明確負面）,50 TKS,完全離題（政治新聞）,未核對,https://huggingface.co/THUDM/glm-4-9b-chat
主表,Mistral-7B-Instruct-v0.3.Q4_K_M.gguf,✅ 跑得完,C（明確負面）,16 TKS,缺乏邏輯推演；16 TKS,未核對,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3
主表,Qwen3.5-9B-The-Defiant-Fable-Uncnr-IQ3_M,✅ 跑得完,C（明確負面）,24 TKS,偏離推理題材,僅組織首頁,https://huggingface.co/Qwen
